qmhayaku;Quiz-Mahjong Hayaku Yatteyo!;a
galkoku;Mahjong Gal no Kokuhaku;a
galkaika;Mahjong Gal no Kaika;a
tokyogal;Tokyo Gal Zukan;a
mcontest;Miss Mahjong Contest;a
uchuuai;Mahjong Uchuu yori Ai wo komete;a
av2mj1bb;AV2Mahjong No.1 Bay Bridge no Seijo;a
av2mj2rg;AV2Mahjong No.2 Rouge no Kaori;a
mjuraden;Mahjong Uranai Densetsu;a
koinomp;Mahjong Koi no Magic Potion;a
patimono;Mahjong Pachinko Monogatari;a
mjanbari;Medal Mahjong Janjan Baribari ;a
ultramhm;Ultra Maru-hi Mahjong;a
gal10ren;Mahjong Gal 10-renpatsu;a
renaiclb;Mahjong Ren-ai Club;a
mjlaman;Mahjong La Man;a
mkeibaou;Mahjong Keibaou;a
pachiten;Medal Mahjong Pachi-Slot Tengoku ;a
sailorws;Mahjong Sailor Wars;a
psailor1;Bishoujo Janshi Pretty Sailor 18-kin;a
psailor2;Bishoujo Janshi Pretty Sailor 2;a
otatidai;Disco Mahjong Otachidai no Okite;a
ngpgal;Nekketsu Grand-Prix Gal;a
mjgottsu;Mahjong Gottsu ee-kanji;a
cmehyou;Mahjong Circuit no Mehyou;a
mmehyou;Medal Mahjong Circuit no Mehyou ;a
mjkoiura;Mahjong Koi Uranai;a
imekura;Imekura Mahjong;a
mscoutm;Mahjong Scout Man;a
mjegolf;Mahjong Erotica Golf;a
niyanpai;Niyanpai;a
safarir;Safari Rally;a
phoenix;Phoenix;a
pleiads;Pleiads;a
survival;Survival;a
naughtyb;Naughty Boy;a
popflame;Pop Flamer;a
geebee;Gee Bee;a
bombbee;Bomb Bee;a
cutieq;Cutie Q;a
navalone;Navarone;a
kaitei;Kaitei Takara Sagashi;a
sos;SOS;a
tankbatt;Tank Battalion;a
warpwarp;Warp and Warp;a
rallyx;Rally X;a
nrallyx;New Rally X;a
jungler;Jungler;a
tactcian;Tactician;a
locomotn;Loco-Motion;a
